row,col,NDVI,NDVI_log1p,NDVI_log1p_01,region,NDVI_01,NDVI_rescaled,NDVI_rescaledf_log1p,obs_sample_row,chl_a,chl_a_log1p,transect_name,mat_type,afdm,Ef_scores
759,487,0.24441468715667725,0.21866528857268902,0.2768680032763469,delta_harnish_crescent_vg,0.05840273261918006,8.760409892877009,2.2783343967641474,36,18.37613038,2.9640419157311193,Delta Gauge,orange,6.431718062,-0.22273715319517118
1313,440,0.24437551200389862,0.21863380729090393,0.2767913939878257,delta_harnish_crescent_vg,0.058317068635163546,8.747560295274532,2.2770170275722865,97,7.980194073,2.195021493773229,Von Guerard Gauge,orange,4.669603524,0.33120788322704464
1531,144,0.2442043125629425,0.21849621922598744,0.2764565752268166,delta_harnish_crescent_vg,0.05794270822726482,8.691406234089722,2.2712395375705494,2,52.85099036,3.9862207945196344,Von Guerard Gauge,black,23.21585903,-2.434768261778647
1614,191,0.2441903054714203,0.2184849612917186,0.2764291791906437,delta_harnish_crescent_vg,0.057912079035566257,8.686811855334938,2.2707653578684046,13,26.13778672,3.3009271006023044,Delta Gauge,black,17.31277533,-1.941133724388251
1599,181,0.2439160794019699,0.2182645317536346,0.2758927667854261,delta_harnish_crescent_vg,0.05731243114745065,8.596864672117597,2.261436448475071,57,12.18052452,2.5787403249441034,Delta Gauge,black,12.02643172,-1.4209241586564183
1310,469,0.24371221661567688,0.21810063042876565,0.2754939150496038,delta_harnish_crescent_vg,0.0568666460712506,8.52999691068759,2.254444393498964,110,6.969502736,2.0756220988857765,Von Guerard Gauge,orange,3.700440529,0.4172143146054589
794,431,0.243570938706398,0.2179870302468736,0.2752174704889903,delta_harnish_crescent_vg,0.05655771483029945,8.483657224544917,2.249570025051576,46,14.45064581,2.7376508024701587,Delta Upper,orange,13.39207048,-0.0596618564927438
829,462,0.243570938706398,0.2179870302468736,0.2752174704889903,delta_harnish_crescent_vg,0.05655771483029945,8.483657224544917,2.249570025051576,169,2.66574287,1.2990310078414475,Von Guerard Lower,orange,0.925110132,0.9766126971847907
1619,181,0.24355493485927582,0.21797416089651822,0.2751861530927932,delta_harnish_crescent_vg,0.05652271934957152,8.478407902435727,2.249016359381921,2,52.85099036,3.9862207945196344,Von Guerard Gauge,black,23.21585903,-2.434768261778647
830,440,0.24322013556957245,0.21770489706505441,0.27453090307172495,delta_harnish_crescent_vg,0.05579061649948287,8.368592474922432,2.2373628688432192,136,4.817985921,1.760954140166335,Delta Gauge,orange,4.537444934,0.6438776760412493
1483,1542,0.2431924194097519,0.21768260296927677,0.2744766506804974,canada_huey,0.0557300098010155,8.359501470152326,2.2363920273351816,90,8.317106416,2.2318521101053252,Canada Gauge,orange,11.55301389,0.3046778503137538
1308,472,0.2429894506931305,0.21751932552001765,0.2740793171378326,delta_harnish_crescent_vg,0.05528617977960472,8.292926966940708,2.229253569611867,83,8.689887225,2.271082787548056,Von Guerard Middle,black,81.71806167,-1.1993105826157098
1613,176,0.2429027408361435,0.21744956396131643,0.27390955329483807,delta_harnish_crescent_vg,0.05509657204929201,8.264485807393802,2.2261883598047643,35,18.94261591,2.9928589449963607,Von Guerard Gauge,orange,11.23348018,-0.24349479482616065
1552,1632,0.2428138554096222,0.21737804701791794,0.27373551774608335,canada_huey,0.05490220701899209,8.235331052848814,2.2230364606371507,177,2.060935818,1.1187206920858228,Canada Gauge,orange,2.995594714,1.1064948193971706
1546,1601,0.24271202087402344,0.217296104973679,0.2735361128504386,canada_huey,0.054679526278494234,8.201928941774135,2.2194131296619637,88,8.504008811,2.251713689703193,Canada Gauge,orange,2.995594714,0.29037104763388166
1318,477,0.24268704652786255,0.21727600812364853,0.2734872074280717,delta_harnish_crescent_vg,0.05462491508138062,8.193737262207094,2.2185225198827183,143,4.214,1.65134731551131,Delta Upper,orange,8.6,0.7228302691610401
1317,478,0.24268704652786255,0.21727600812364853,0.2734872074280717,delta_harnish_crescent_vg,0.05462491508138062,8.193737262207094,2.2185225198827183,10,26.83481523,3.326287583567813,Von Guerard Gauge,black,14.88986784,-1.9594015275036054
820,462,0.24251651763916016,0.21713877277485955,0.2731532469971574,delta_harnish_crescent_vg,0.054252020964573856,8.137803144686078,2.2124200004146264,120,6.121527753,1.9631222744571561,Delta Gauge,black,14.75770925,-0.9774787654496319
1606,176,0.2422136515378952,0.2168949908893881,0.27256000695922566,delta_harnish_crescent_vg,0.053589746154708635,8.038461923206295,2.201489018690181,164,2.85553174,1.3495089326522718,Von Guerard Gauge,orange,2.68722467,0.9402521596757087
1623,176,0.2422136515378952,0.2168949908893881,0.27256000695922566,delta_harnish_crescent_vg,0.053589746154708635,8.038461923206295,2.201489018690181,222,0.045,0.04401688541677432,Delta Upper,black,15.3,0.4049018245527706
1622,178,0.2422136515378952,0.2168949908893881,0.27256000695922566,delta_harnish_crescent_vg,0.053589746154708635,8.038461923206295,2.201489018690181,222,0.045,0.04401688541677432,Delta Upper,black,15.3,0.4049018245527706
1749,141,0.24220189452171326,0.2168855262761106,0.2725369749462896,delta_harnish_crescent_vg,0.05356403718422973,8.03460557763446,2.201062268153209,17,25.59446469,3.2807030997721154,Von Guerard Middle,orange,22.20264317,-0.450836285699999
1551,1642,0.24210458993911743,0.21680719086680889,0.2723463467497127,canada_huey,0.05335126205466418,8.002689308199628,2.1975233447229794,128,5.523982772,1.8754850440440607,Canada Gauge,black,14.53744493,-0.9143514317573381
1017,456,0.24208785593509674,0.2167937184773821,0.2723135618658025,delta_harnish_crescent_vg,0.053314669945858345,7.997200491878751,2.196913472490208,29,20.60205839,3.072788605983093,Von Guerard Gauge,orange,6.784140969,-0.3010701695526009
1565,1393,0.24208785593509674,0.2167937184773821,0.2723135618658025,canada_huey,0.053314669945858345,7.997200491878751,2.196913472490208,149,3.748984796,1.5579308680457513,Canada Gauge,orange,3.083700441,0.7901205203899946
794,466,0.24197490513324738,0.21670277810043395,0.27209225964490164,delta_harnish_crescent_vg,0.053067681357480564,7.960152203622084,2.192787213853955,34,19.14824565,3.003117220086228,Von Guerard Lower,orange,5.550660793,-0.2508840921790425
1585,166,0.24183633923530579,0.21659120287635078,0.2718207427926985,delta_harnish_crescent_vg,0.0527646804493902,7.91470206740853,2.1877018315091674,222,0.045,0.04401688541677432,Delta Upper,black,15.3,0.4049018245527706
1055,455,0.24148070812225342,0.21630478667680675,0.27112375270767575,delta_harnish_crescent_vg,0.05198702482271156,7.798053723406734,2.174530529228268,15,25.74574973,3.2863755721197543,Von Guerard Gauge,black,21.49779736,-1.9306518870467368
1546,1634,0.2413496971130371,0.2161992530817117,0.27086693808079654,canada_huey,0.05170054412759052,7.755081619138578,2.1696342882687265,99,7.894115059,2.1853898287037246,Canada Gauge,orange,9.074889868,0.3381458173902877
852,788,0.24096427857875824,0.21588872142362955,0.27011126334203,delta_harnish_crescent_vg,0.050857752592182705,7.628662888827406,2.15508955552782,15,25.74574973,3.2863755721197543,Von Guerard Gauge,black,21.49779736,-1.9306518870467368
1315,441,0.24096032977104187,0.2158855393707154,0.27010351985777625,delta_harnish_crescent_vg,0.05084911776686343,7.627367665029515,2.154939437133409,222,0.045,0.04401688541677432,Delta Upper,black,15.3,0.4049018245527706
1483,1548,0.24081279337406158,0.21576664341219431,0.26981418809382435,canada_huey,0.05052650114238739,7.578975171358108,2.149314462468224,91,8.31256652,2.2313647267674144,Canada Gauge,black,17.62114537,-1.170700649774476
743,493,0.2407602071762085,0.21572426206951426,0.26971105364931675,delta_harnish_crescent_vg,0.05041151133653182,7.561726700479773,2.1473018871572105,95,7.98890693,2.195991253771948,Von Guerard Lower,orange,1.40969163,0.3305093403503242
861,754,0.24046355485916138,0.21548514432205462,0.2691291637303887,delta_harnish_crescent_vg,0.049762824157452035,7.464423623617805,2.1358719239128443,223,0.025,0.0246926125903715,Delta Upper,black,11.2,0.41882159145233
1593,180,0.2403235137462616,0.21537224377140216,0.2688544217132694,delta_harnish_crescent_vg,0.04945659740895937,7.418489611343905,2.1304304310879805,79,9.156552423,2.3181190561205303,Von Guerard Middle,orange,9.515418502,0.24253756744485128
